6355825,10-Jan-16,10.8864,13.63
6260863,10-Jan-16,6.6143,3.3244
6313612,10-Jan-16,7.9081,4.5809
4837334,10-Jan-16,4.6431,6.0806
5920514,11-Jan-16,9.2,12.4833
5292825,12-Jan-16,5.4833,7.0304
6267939,12-Jan-16,6.6594,3.2986
6260892,12-Jan-16,6.521,3.363
5876401,12-Jan-16,6.5263,3.3571
6260958,13-Jan-16,5.4833,7.0304
5876764,14-Jan-16,6.7457,4.8775
5292829,14-Jan-16,5.3991,5.4482
5292830,14-Jan-16,5.4832,5.7346
5876887,14-Jan-16,7.1962,5.5868
6258172,14-Jan-16,9.0833,6.0167
6230785,15-Jan-16,11.5221,13.6856
6356539,15-Jan-16,11.4833,12.3144
6260587,15-Jan-16,4.8755,7.1488
5877651,15-Jan-16,6.3267,7.6539
6313171,15-Jan-16,12.2284,6.2962
6356459,15-Jan-16,12.1076,11.7539
5292841,17-Jan-16,9.0833,7.5333
6126395,17-Jan-16,6.2006,6.7339
6268024,17-Jan-16,6.5048,4.7839
5292842,18-Jan-16,6.2006,6.7339
5292843,18-Jan-16,6.4426,7.5022
5292844,18-Jan-16,5.1066,7.3667
5292845,18-Jan-16,9.0833,7.5333
6258156,18-Jan-16,7.7667,4.5667
5292846,19-Jan-16,4.7774,7.0134
5292847,19-Jan-16,6.5942,3.3375
5876349,19-Jan-16,6.4531,3.3958
6126774,19-Jan-16,5.4616,6.2079
6356480,20-Jan-16,10.9048,12.0886
5292850,20-Jan-16,5.074,6.6535
5292851,20-Jan-16,5.0858,6.4709
6267975,20-Jan-16,7.621,5.2215
6356558,20-Jan-16,11.156,12.7576
6126753,20-Jan-16,5.4616,6.2079
6261183,20-Jan-16,7.6813,6.4286
5877206,20-Jan-16,6.4456,3.3592
6260782,21-Jan-16,9.9285,8.8921
5292858,21-Jan-16,5.0014,6.8741
6267992,21-Jan-16,10.0545,9.0604
6357389,21-Jan-16,12.024,13.9165
6357388,22-Jan-16,11.8464,13.1603
5292863,23-Jan-16,6.65,8.45
6357361,23-Jan-16,12.3611,13.8246
6357364,23-Jan-16,12.65,13.65
6357370,23-Jan-16,12.1,13.7833
6357382,23-Jan-16,9.4167,12.2333
6357394,23-Jan-16,11.1695,12.284
6260488,24-Jan-16,7.85,9.7833
5821194,24-Jan-16,9.5175,8.5128
5876496,24-Jan-16,9.3667,12.55
